Fund,Accession_Number
"ALPHASTAR CAPITAL MANAGEMENT, LLC",0001606587-15-000101
"GEOWEALTH MANAGEMENT, LLC",0001085146-15-000848
FRANKFURT-TRUST INVEST LUXEMBOURG AG,0001172661-15-000791
FRANKFURT-TRUST INVESTMENT GESELLSCHAFT MIT BESCHRANKTER HAFTUNG,0001172661-15-000784
FRANKFURT-TRUST INVESTMENT GESELLSCHAFT MIT BESCHRANKTER HAFTUNG,0001172661-15-000783
FRANKFURT-TRUST INVEST LUXEMBOURG AG,0001172661-15-000789
FRANKFURT-TRUST INVEST LUXEMBOURG AG,0001172661-15-000787
FRANKFURT-TRUST INVESTMENT GESELLSCHAFT MIT BESCHRANKTER HAFTUNG,0001172661-15-000785
BHF BANK AKTIENGESELLSCHAFT /ADR/,0001172661-15-000781
BHF BANK AKTIENGESELLSCHAFT /ADR/,0001172661-15-000779
BHF BANK AKTIENGESELLSCHAFT /ADR/,0001172661-15-000778
BHF BANK AKTIENGESELLSCHAFT /ADR/,0001172661-15-000780
HUNTINGTON BANCSHARES INC/MD,0000950123-15-003827
HUNTINGTON BANCSHARES INC/MD,0000950123-15-003824
"AQUAMARINE CAPITAL MANAGEMENT, LLC",0001404599-15-000003
ANALYST PROVIDENT FUNDS LTD.,0001178913-15-000665
FEROX CAPITAL LLP,0001343231-15-000001
"LEBENTHAL WEALTH ADVISORS, LLC",0001221073-15-000039
"LEBENTHAL ASSET MANAGEMENT, LLC",0001221073-15-000038
BTG PACTUAL EUROPE LLP,0001569595-15-000002
BTG PACTUAL ASSET MANAGEMENT US LLC,0001569579-15-000002
BTG PACTUAL ASSET MANAGEMENT S.A. DTVM,0001569785-15-000002
BTG PACTUAL ASIA LTD,0001569580-15-000002
KLEINWORT BENSON INVESTORS INTERNATIONAL LTD.,0001172661-15-000751
KLEINWORT BENSON (CHANNEL ISLANDS) INVESTMENT MANAGEMENT LTD,0001172661-15-000752
KLEINWORT BENSON GROUP LTD,0001172661-15-000750
KLEINWORT BENSON INVESTORS DUBLIN LTD,0001172661-15-000749
KLEINWORT BENSON CHANNEL ISLAND HOLDINGS LTD,0001172661-15-000748
KLEINWORT BENSON INVESTORS INTERNATIONAL LTD.,0001172661-15-000745
KLEINWORT BENSON GROUP LTD,0001172661-15-000744
KLEINWORT BENSON INVESTORS DUBLIN LTD,0001172661-15-000743
HUNTINGTON BANCSHARES INC/MD,0000950123-15-003578
KLEINWORT BENSON (CHANNEL ISLANDS) INVESTMENT MANAGEMENT LTD,0001172661-15-000746
KLEINWORT BENSON (CHANNEL ISLANDS) INVESTMENT MANAGEMENT LTD,0001172661-15-000740
KLEINWORT BENSON INVESTORS DUBLIN LTD,0001172661-15-000737
KLEINWORT BENSON CHANNEL ISLAND HOLDINGS LTD,0001172661-15-000742
KLEINWORT BENSON INVESTORS INTERNATIONAL LTD.,0001172661-15-000739
KLEINWORT BENSON GROUP LTD,0001172661-15-000738
