"","cluster","size","common_holdings","other_holdings","option_holdings"
"ABSOLUTE RETURN CAPITAL, LLC",4,4853100,583,45,0
"ABU DHABI INVESTMENT COUNCIL",2,321475,2,2,0
"ADVENT CAPITAL MANAGEMENT /DE/",4,6805906,68,393,0
"AERIS CAPITAL HOLDING GMBH",3,308567,46,4,0
"AFFINITY WEALTH MANAGEMENT",3,124965,31,15,0
"ALBERT D MASON INC",3,448988,119,7,8
"ALBION FINANCIAL GROUP /UT",4,579107,129,49,0
"ALDEN GLOBAL CAPITAL LTD",3,415181,53,9,0
"ALPHAGEN SECURITIES LLC",1,205149668,233,20,345
"ALTFEST L J & CO INC",4,122298396,106,10,5
"ALYESKA INVESTMENT GROUP, L.P.",2,15227,1,0,0
"AMP CAPITAL INVESTORS LTD",4,16341554,1061,67,0
"ANALYST IMS INVESTMENT MANAGEMENT SERVICES LTD.",3,213992,77,27,0
"APOLLO MANAGEMENT HOLDINGS, L.P.",3,6356799,52,24,0
"ARCLIGHT CAPITAL PARTNERS, LLC",2,971345,2,0,0
"ARISTOTLE CAPITAL MANAGEMENT, LLC",3,7814405,126,14,0
"ARROWGRASS CAPITAL PARTNERS (US) LP",4,5628795,250,32,0
"ARROWGRASS CAPITAL PARTNERS LLP",2,376745,8,2,0
"ATHENA GLOBAL INVESTORS LLC",3,146171,33,2,0
"AUSTIN I LLC",2,0,0,1,0
"AVALON ADVISORS, LLC",4,2193726,209,16,0
"AVIANCE CAPITAL MANAGEMENT, LLC",4,2780970,221,88,0
"B.S. PENSION FUND TRUSTEE LTD ACTING FOR THE BRITISH STEEL PENSION FUND",3,1039465,179,15,0
"BAIN CAPITAL INVESTORS LLC",3,9357552,13,0,0
"BAIN CAPITAL VENTURE INVESTORS, LLC",2,19339,2,0,0
"BAINCO INTERNATIONAL INVESTORS",3,422134,66,20,0
"BAMCO INC /NY/",4,24949210,346,15,0
"BANCORPSOUTH INC",4,918753,199,57,0
"BBK CAPITAL PARTNERS, LLC",4,146434,436,70,0
"BEACH INVESTMENT COUNSEL INC/PA",3,1201602,164,15,0
"BERKLEY W R CORP",3,648101,38,15,0
"BERKSHIRE HATHAWAY INC",2,620451,1,0,0
"BERKSHIRE PARTNERS LLC",2,270180,1,0,0
"BIENVILLE CAPITAL MANAGEMENT, LLC",3,121363,85,11,1
"BKD WEALTH ADVISORS, LLC",4,611312,107,45,0
"BLACKSTONE GROUP L.P.",3,35427554,49,6,0
"BLUE CLAY CAPITAL MANAGEMENT, LLC",3,136861,60,5,0
"BNP PARIBAS ARBITRAGE, SA",4,28213484054,1724,254,0
"BOARDMAN BAY CAPITAL MANAGEMENT LLC",3,94341,55,4,0
"BONTEMPO OHLY CAPITAL MGMT LLC",2,103257,25,2,0
"BOOTH PARK CAPITAL MANAGEMENT LLC",3,133766,19,6,0
"BOOTHBAY FUND MANAGEMENT, LLC",4,115703,300,23,1
"BOSTON FINANCIAL MANGEMENT INC /MA",4,795567,178,23,1
"BREVAN HOWARD CAPITAL MANAGEMENT LP",2,180204,5,4,0
"BRIDGEWAY CAPITAL MANAGEMENT INC",4,4392967,1385,69,0
"BRINKER CAPITAL INC",4,1246801,87,66,0
"BRITISH AIRWAYS PENSIONS INVESTMENT MANAGEMENT LTD",3,3053730,103,7,0
"BROADFIN CAPITAL, LLC",3,1150089,67,5,0
"BTG PACTUAL GLOBAL ASSET MANAGEMENT LTD",3,1139068,144,13,0
"CAMBRIDGE TRUST CO",4,1152706,184,39,0
"CANAAN PARTNERS VII LLC",2,88795,3,0,0
"CANYON CAPITAL ADVISORS LLC",3,2442085,47,10,0
"CAPE COD FIVE CENTS SAVINGS BANK",4,550572,149,41,7
"CAPITAL GUARDIAN TRUST CO",4,14238328,433,79,0
"CAPITAL IMPACT ADVISORS, LLC",3,212272,212,8,0
"CAPITAL INTERNATIONAL INC /CA/",3,1446434,104,24,0
"CAPITAL INTERNATIONAL INVESTORS",4,48730670,209,36,0
"CAPITAL INTERNATIONAL LTD /CA/",4,1609648,144,30,0
"CAPITAL INTERNATIONAL SARL",2,21655,4,1,0
"CAPITAL RESEARCH GLOBAL INVESTORS",3,6783001,10,3,0
"CAPITAL WORLD INVESTORS",3,4130978,14,2,0
"CARNEGIE CAPITAL ASSET MANAGEMENT, LLC",4,533348,207,74,0
"CARRET ASSET MANAGEMENT, LLC",4,528440,226,45,0
"CAVALANE HOLDINGS PTY LTD",2,0,2,0,0
"CENTERBRIDGE PARTNERS, L.P.",3,1735177,16,4,0
"CG ASSET MANAGEMENT LLC",3,253667,118,7,0
"CHARLES-LIM CAPITAL LTD",2,106771,5,0,0
"CITADEL ADVISORS LLC",1,82662383,3151,284,4534
"CLEARLINE CAPITAL LP",3,644855,60,3,0
"CLOUD GATE CAPITAL, LLC",2,100019,23,0,0
"CMT ASSET MANAGEMENT LTD",3,1691985,61,11,0
"COHEN & STEERS INC",4,35897987,415,35,0
"COLISEUM CAPITAL MANAGEMENT, LLC",2,310820,9,0,0
"COLONY GROUP LLC",4,955993,601,213,0
"COLUMBIA ASSET MANAGEMENT",3,259732,169,15,0
"COLUMBIA PACIFIC ADVISORS, LLC",3,142840,28,4,7
"COMMONWEALTH BANK OF AUSTRALIA",4,14620779,1101,54,0
"CONTOUR ASSET MANAGEMENT LLC",3,1732398,44,2,0
"COYLE FINANCIAL COUNSEL, INC.",3,82700,22,19,0
"CRESTWOOD ADVISORS LLC",4,664387,116,30,0
"CRITERION CAPITAL MANAGEMENT LLC",3,2668602,57,5,0
"CT MASON",3,415677,91,5,1
"CYPRESS ASSET MANAGEMENT INC/TX",3,543478,184,16,0
"CYPRESS CAPITAL GROUP",4,431458,186,29,0
"DAVID R. RAHN & ASSOCIATES INC.",3,130082,19,43,0
"DIVERSIFIED PORTFOLIOS, INC.",3,168492,44,33,0
"DREMAN VALUE MANAGEMENT, L L C",4,1215951,437,37,0
"DRW SECURITIES, LLC",3,869934,80,28,0
"DSC ADVISORS, L.P.",3,172613,44,19,1
"EFG ASSET MANAGEMENT (AMERICAS) CORP.",4,164261,127,95,0
"EJF CAPITAL LLC",3,2425092,98,19,0
"EMPIRICAL CAPITAL PARTNERS LP",2,101187,26,1,0
"ENDEAVOUR CAPITAL ADVISORS INC",3,1282641,151,9,0
"ENGAGED CAPITAL LLC",2,122516,13,0,0
"ETF PORTFOLIO PARTNERS, INC.",2,106458,1,18,0
"EUCLID ADVISORS LLC",4,10723267,344,27,0
"EVENSKY & KATZ LLC",3,335543,6,37,0
"FAMILY MANAGEMENT CORP",3,220450,80,9,0
"FEINBERG STEPHEN",2,1095732,4,1,0
"FEROX CAPITAL MANAGEMENT LP",2,199154,0,30,0
"FIDELITY NATIONAL FINANCIAL, INC.",2,140061,16,1,0
"FIRST LIGHT ASSET MANAGEMENT, LLC",3,176464,64,2,0
"FORT POINT CAPITAL PARTNERS, LLC",3,134570,32,28,0
"FORTRESS INVESTMENT GROUP LLC",4,8606500,132,27,0
"FRONTIER WEALTH MANAGEMENT LLC",4,530847,200,69,0
"GAMBLE JONES INVESTMENT COUNSEL",4,967561,178,50,0
"GARDE CAPITAL, INC.",4,325467,70,69,0
"GEOSPHERE CAPITAL MANAGEMENT",2,18561,15,1,0
"GHOST TREE CAPITAL, LLC",3,208403,52,3,1
"GLACIER PEAK CAPITAL LLC",3,197407,48,15,0
"GLENDON CAPITAL MANAGEMENT LP",2,1330,0,1,0
"GMT CAPITAL CORP",3,4070887,68,12,0
"GOLDENTREE ASSET MANAGEMENT LP",3,2029232,19,5,1
"GRAHAM CAPITAL MANAGEMENT, L.P.",4,2343150,102,34,0
"GRATRY & CO LLC",3,305292,60,9,0
"GROW PARTNERS, LLC",3,109226,25,4,0
"GRUSS CAPITAL MANAGEMENT LP",3,3495919,69,8,0
