Security,OFC,WRB,OHI,LPNT,HIW,IAG,MD,ACM,WRI,BMR,OGE,KGC,EXR,HME,AEM,DST,CRL,CMP
OFC,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
WRB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OHI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LPNT,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HIW,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IAG,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ACM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WRI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OGE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KGC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
EXR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HME,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AEM,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
DST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CMP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
