Date,OFC,WRB,OHI,LPNT,HIW,IAG,MD,ACM,WRI,BMR,OGE,KGC,EXR,HME,AEM,DST,CRL,CMP
3/31/15,29.38,50.51,40.57,73.45,45.78,1.87,72.51,30.82,35.98,22.66,31.61,2.24,67.57,69.29,27.94,110.71,79.29,93.21
3/30/15,29.34,51.16,41.13,74.31,46.06,1.88,72.61,30.96,36.2,22.76,31.85,2.29,68.26,69.83,28,109.2,79.83,93.26
3/27/15,28.75,50.31,40.21,73.71,45.33,2.02,72.11,30.62,35.59,22.35,31.52,2.36,66.98,68.92,28.85,107.64,79.61,91.56
3/26/15,28.97,50.54,40.33,73.85,45.03,2.06,71.98,30.79,35.73,22.5,31.31,2.36,67.25,69.06,29.14,106.42,79.01,92.27
3/25/15,29.35,50.3,40.41,74.65,45.45,2.09,72.09,30.94,36,22.66,31.5,2.46,67.14,69.25,30.11,105.02,78.07,92.7
3/24/15,29.94,50.78,40.95,76.41,46.5,2.18,72.75,31.07,36.5,22.81,31.91,2.53,68.42,70.56,30.25,106.97,81.82,93.73
3/23/15,30.49,51.65,41.09,77.6,46.66,2.15,73.12,31.2,37.03,23.02,32.29,2.48,69.3,71.32,30.42,107.8,83.31,94.23
3/20/15,30.75,51.39,40.67,75.66,46.59,2.03,72.46,31.09,37.19,23.24,32.45,2.42,69.22,71.89,29.72,108.42,84.08,95
3/19/15,29.9,50.89,39.92,75.89,45.11,1.99,72.14,30.21,36.38,22.39,31.76,2.36,66.93,69.8,28.56,107.12,84.2,94.71
3/18/15,29.61,51.56,40.15,75.15,44.97,1.96,72.06,30.39,36.52,22.53,32.29,2.36,66.55,69.7,29.27,107.58,81.95,95.19
3/17/15,29.25,51.14,39.38,74.66,44.11,1.87,72.64,29.66,35.66,22.01,31.43,2.24,65.11,68.21,28.1,106.88,81.9,94.08
3/16/15,29.34,51.36,39.42,74.23,43.97,1.93,73.3,29.33,35.61,21.78,31.5,2.34,65.06,68.18,28.44,106.49,81.97,93.94
3/13/15,29.3,50.6,39.17,73.01,43.71,1.92,73.72,29.09,35.12,21.59,31.24,2.34,64.68,66.8,28.36,104.88,80.19,93.44
3/12/15,29.23,51.25,39.5,74.4,43.72,1.97,73.66,29.58,35.32,22.03,31.49,2.36,64.92,66.42,28.48,106.17,80.29,93.6
3/11/15,28.91,50.18,38.94,73.5,43.27,1.94,71.62,29.36,34.76,21.55,31.19,2.37,64.01,64.81,28.59,104.78,79.5,92.72
3/10/15,28.72,49.39,38.82,71.86,43.35,1.81,70.85,29.35,34.59,21.38,31.38,2.32,63.95,65.02,27.49,104.38,78.4,91.75
3/9/15,28.59,50.2,38.65,72.06,43.47,1.91,71.24,29.02,34.6,20.96,31.67,2.42,64.33,64.97,27.65,106.3,78.15,92.63
3/6/15,28.62,50.23,38.02,72.38,43.31,2.04,71.14,29.37,34.26,20.6,31.66,2.51,64.22,64.66,28.66,106.03,76.77,91.61
3/5/15,29.28,50.18,40.01,73.2,44.96,2.18,71.5,29.4,35.57,21.72,32.22,2.75,65.85,66.86,31.31,105.87,77.7,91.5
3/4/15,29.17,50.05,40.11,74.07,45.07,2.24,71.11,30.05,35.73,21.77,31.72,2.7,65.31,66.58,30.78,106.42,76.61,91.56
